RENTAL_ZONE_HAL_ID,RENTAL_ZONE_HAL_SRC,NAME,CODE,TYPE,CITY,COUNTRY,LATITUDE,LONGITUDE,POI_AIRPORT_X,POI_LONG_DISTANCE_TRAINS_X,POI_SUBURBAN_TRAINS_X,POI_UNDERGROUND_X,ACTIVE_X,COMPANY,COMPANY_GROUP
10405,Standort,Mediapark,40023597,normal,Köln,Deutschland,6.945105008800000,50.947131194700000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10439,Standort,Bahnhof Haupt- Breslauer Platz,40023821,normal,Köln,Deutschland,6.960443189700000,50.943532231100000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10479,Standort,WDR,40024147,normal,Köln,Deutschland,6.953627851400000,50.940181530600000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10810,Standort,Chlodwigplatz,40029603,normal,Köln,Deutschland,6.959477162300000,50.921020722100000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10817,Standort,Eigelstein/Ebertplatz,40029679,normal,Köln,Deutschland,6.956884699500000,50.949074010600000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10844,Standort,Uni Heilpädagogik Haus 213,40030041,normal,Köln,Deutschland,6.921024450300000,50.933659741900000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10864,Standort,Bahnhof West,40030331,normal,Köln,Deutschland,6.933136550800000,50.943442902200000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
12399,Standort,Stachus,88000075,normal,München,Deutschland,11.565555560000000,48.138888890000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
12400,Standort,Odeonsplatz,88007457,normal,München,Deutschland,11.577565977200000,48.142344159300000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
12623,Standort,Deutschordenstraße / Heinrich-Hoffmann-Straße,6052800012,normal,Frankfurt am Main,Deutschland,8.652706000000000,50.092593000000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
12656,Standort,Bockenheimer Landstraße / Mendelssohnstraße,6032300005,normal,Frankfurt am Main,Deutschland,8.659764222400000,50.119072963900000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
12939,Standort,Osthafenplatz / Hanauer Landstraße,6031400016,normal,Frankfurt am Main,Deutschland,8.712003000000000,50.111153000000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
13191,Standort,Odeonsplatz,88006792,normal,München,Deutschland,11.577970320400000,48.142614000600000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
13197,Standort,Kurfürstenplatz,88006833,normal,München,Deutschland,11.575277780000000,48.160277780000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
13239,Standort,Sendlinger Tor Platz,88007171,normal,München,Deutschland,11.567219547000000,48.133709237800000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
13302,Standort,Bahnhof Süd,40026124,normal,Köln,Deutschland,6.938814998800000,50.926435570300000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
13353,Standort,WDR,40026515,normal,Köln,Deutschland,6.953175303400000,50.940162213500000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
13427,Standort,Breite Strasse/Neue Langgasse/U-Bahn,40027096,normal,Köln,Deutschland,6.950618400000000,50.938903260700000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
13516,Standort,Zülpicher Platz/Friedrichstr.,40027902,normal,Köln,Deutschland,6.939332934200000,50.930237905400000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
13523,Standort,Neumarkt,40027954,normal,Köln,Deutschland,6.945853224500000,50.935807950400000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14150,Standort,Goetheplatz,88000523,normal,München,Deutschland,11.558333330000000,48.129166670000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14166,Standort,Sendlinger Tor Platz,88000690,normal,München,Deutschland,11.565833330000000,48.134444440000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14246,Standort,Ostbahnhof,88001644,normal,München,Deutschland,11.603055560000000,48.127777780000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14307,Standort,LMU Projektstandort 4,88002477,normal,München,Deutschland,11.564166670000000,48.130000000000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14811,Standort,Chlodwigplatz,40028419,normal,Köln,Deutschland,6.959876016900000,50.921079738900000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14962,Standort,Friesenplatz,40018590,normal,Köln,Deutschland,6.937831691600000,50.940359371200000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14964,Standort,Neumarkt,40018645,normal,Köln,Deutschland,6.945614128900000,50.936644988500000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14997,Standort,Friesenplatz,40018925,normal,Köln,Deutschland,6.940042141000000,50.940523807000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14998,Standort,Friesenplatz,40018926,normal,Köln,Deutschland,6.940042141000000,50.940523807000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15006,Standort,Chlodwigplatz,40018984,normal,Köln,Deutschland,6.959258187200000,50.921714246700000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
